song_id,title,hidden,author,themes,ccli_number,last_scheduled_at,last_used_at,recent_uses_found,recent_use_1,recent_use_2,recent_use_3,days_since_last_use,usage_band,recency_band,bpm,length_seconds,meter,arrangement_name
11793643,At Your Name,False,Tim Hughes and Phil Wickham,"Adoration, His Name, Praise, Proclamation",5942543,2025-02-23T10:00:00Z,2025-02-23T10:00:00Z,3,2025-02-23T10:00:00Z,2024-06-23T10:00:00Z,2024-03-24T10:00:00Z,369,Frequent recently,365d+,84,300,,Default Arrangement
22635834,Praise Adonai,False,Paul Baloche,"love you so much, Adoration, Worship, Praise",2612742,2025-02-23T10:00:00Z,2025-02-23T10:00:00Z,3,2025-02-23T10:00:00Z,2024-06-30T10:00:00Z,2024-01-21T10:00:00Z,369,Frequent recently,365d+,,270,4/4,Default Arrangement
26090961,Same Power,False,Jeremy Camp and Jason Ingram,,7031700,2025-02-16T10:00:00Z,2025-02-16T10:00:00Z,3,2025-02-16T10:00:00Z,2024-05-19T10:00:00Z,2024-04-12T18:30:00Z,376,Frequent recently,365d+,,300,4/4,Default Arrangement
21724696,The Family Of God,False,Gloria Gaither and William J. Gaither,"Fellowship, Church",17023,2025-02-09T10:00:00Z,2025-02-09T10:00:00Z,3,2025-02-09T10:00:00Z,2024-05-12T10:00:00Z,2023-09-03T10:00:00Z,383,Frequent recently,365d+,,240,3/4,Default Arrangement
12097918,They'll Know We Are Christians By Our Love,False,Peter Scholtes | Bridge by John Ermatinger,"Christian Love, One, Unity, Family, Holy Spirit, Love",26997,2025-02-09T10:00:00Z,2025-02-09T10:00:00Z,3,2025-02-09T10:00:00Z,2024-08-04T10:00:00Z,2024-05-12T10:00:00Z,383,Frequent recently,365d+,,300,4/4,Default Arrangement
25520572,I'll Go Where You Want Me To Go,False,"Carrie E. Rounsefell, Charles E. Prior, and Mary Brown","Stewardship, Obedience, Devotion, Discipleship, Service",47282,2025-02-02T10:00:00Z,2025-02-02T10:00:00Z,3,2025-02-02T10:00:00Z,2024-10-27T10:00:00Z,2024-01-07T10:00:00Z,390,Frequent recently,365d+,,240,6/8,Default Arrangement
21292969,Missionary Anthem,False,Hannah Yates and Seth Yates,,7140047,2025-02-02T10:00:00Z,2025-02-02T10:00:00Z,3,2025-02-02T10:00:00Z,2024-12-08T10:00:00Z,2023-10-22T10:00:00Z,390,Frequent recently,365d+,,300,6/8,Default Arrangement
25011905,I Then Shall Live,False,Jean Sibelius and Gloria Gaither,"Redemption, Salvation",19643,2025-01-19T10:00:00Z,2025-01-19T10:00:00Z,3,2025-01-19T10:00:00Z,2024-11-10T10:00:00Z,2024-08-18T10:00:00Z,404,Frequent recently,365d+,,360,4/4,Default Arrangement
22323657,Great In Power,False,Russell Fragar,"Creation, Power, Greatness, Praise",2582339,2025-01-12T10:00:00Z,2025-01-12T10:00:00Z,3,2025-01-12T10:00:00Z,2024-05-19T10:00:00Z,2024-03-24T10:00:00Z,411,Frequent recently,365d+,,240,4/4,Default Arrangement
24598489,Above All,False,Paul Baloche and Lenny LeBlanc,"Majesty, Redeemer, Jesus, Kingship, God's Attributes, Cross, Victory, Communion",2672885,2024-12-29T10:00:00Z,2024-12-29T10:00:00Z,3,2024-12-29T10:00:00Z,2023-12-03T10:00:00Z,2023-07-23T10:00:00Z,425,Frequent recently,365d+,,,,
21267629,When The Roll Is Called Up Yonder,False,James M. Black,"Resurrection, Eternal Life, Heaven",31315,2024-12-29T10:00:00Z,2024-12-29T10:00:00Z,3,2024-12-29T10:00:00Z,2024-04-21T10:00:00Z,2021-10-10T08:45:00Z,425,Frequent recently,365d+,,300,4/4,Default Arrangement
23111375,Lord Listen To Your Children Praying,False,Ken Medema,"Petition, Prayer",22829,2024-12-08T10:00:00Z,2024-12-08T10:00:00Z,3,2024-12-08T10:00:00Z,2023-10-01T10:00:00Z,2023-01-01T08:45:00Z,446,Frequent recently,365d+,,240,4/4,Default Arrangement
21839894,He Reigns,False,Peter Furler and Steve Taylor,"Nations, Reigns, Passion, Revival, , Singing, Praise",4026635,2024-12-07T10:00:00Z,2024-12-07T10:00:00Z,3,2024-12-07T10:00:00Z,2024-10-27T10:00:00Z,2024-05-26T10:00:00Z,447,Frequent recently,365d+,,300,4/4,Default Arrangement
12100322,It Is Well With My Soul,False,Horatio G. Spafford and Philip Paul Bliss,"Revelation, Trials, Trust, Peace, Assurance, Testimony",25376,2024-12-07T10:00:00Z,2024-12-07T10:00:00Z,3,2024-12-07T10:00:00Z,2022-10-23T08:45:00Z,2021-12-12T08:45:00Z,447,Frequent recently,365d+,70,240,,Default Arrangement
22351385,The Blessing,False,"Chris Brown, Cody Carnes, Kari Jobe, and Steven Furtick",,7147007,2026-03-22T10:00:00Z,2024-12-07T10:00:00Z,3,2024-12-07T10:00:00Z,2023-11-19T10:00:00Z,2023-05-14T10:00:00Z,447,Frequent recently,365d+,,270,4/4,Default Arrangement
21678435,We Three Kings Of Orient Are,False,John Henry Hopkins,"Seasonal, Christmas, Rejoice",38002,2024-12-01T10:00:00Z,2024-12-01T10:00:00Z,3,2024-12-01T10:00:00Z,2023-12-03T10:00:00Z,2022-12-25T08:45:00Z,453,Frequent recently,365d+,,240,,Default Arrangement
19176417,Doxology,False,Thomas Ken and Louis Bourgeois,"Benediction, Praise, Worship",56204,2024-11-24T10:00:00Z,2024-11-24T10:00:00Z,3,2024-11-24T10:00:00Z,2024-06-30T10:00:00Z,2022-08-21T08:45:00Z,460,Frequent recently,365d+,,60,4/4,Default Arrangement
22481075,Come Lord Jesus (Even So Come),False,"Chris Tomlin, Jason Ingram, and Jess Cates",,7036288,2024-11-17T10:00:00Z,2024-11-17T10:00:00Z,3,2024-11-17T10:00:00Z,2023-11-05T10:00:00Z,2023-09-17T10:00:00Z,467,Frequent recently,365d+,,300,6/8,Default Arrangement
19982215,Fall Afresh,False,Jeremy Riddle,,6032768,2024-11-17T10:00:00Z,2024-11-17T10:00:00Z,3,2024-11-17T10:00:00Z,2021-08-01T08:45:00Z,2021-06-27T08:45:00Z,467,Frequent recently,365d+,,300,,Default Arrangement
19176413,Jesus Loves The Little Children,False,George Frederick Root and Clare Herbert Woolston,"Children, God's Attributes, Love",58415,2024-10-27T14:00:00Z,2024-10-27T14:00:00Z,3,2024-10-27T14:00:00Z,2024-04-07T10:00:00Z,2023-03-12T10:00:00Z,488,Frequent recently,365d+,,180,,Default Arrangement
22219684,He Is Exalted,False,Twila Paris,"Kingship, Worship, Praise",17827,2024-10-20T10:00:00Z,2024-10-20T10:00:00Z,3,2024-10-20T10:00:00Z,2024-03-03T10:00:00Z,2023-07-16T10:00:00Z,495,Frequent recently,365d+,,240,6/8,Default Arrangement
14691427,Lord I Need You,False,"Daniel Carson, Matt Maher, Christy Nockels, and Jesse Reeves","Confession, Declaration, Praise, Worship",5925687,2024-10-06T10:00:00Z,2024-10-06T10:00:00Z,3,2024-10-06T10:00:00Z,2024-08-11T10:00:00Z,2024-07-21T10:00:00Z,509,Frequent recently,365d+,,,,
22018303,You Won't Relent,False,"Cassandra Campbell, David Brymer, and Misty Edwards","Consecration, ",5370823,2024-09-22T10:00:00Z,2024-09-22T10:00:00Z,3,2024-09-22T10:00:00Z,2024-01-21T10:00:00Z,2023-03-19T10:00:00Z,523,Frequent recently,365d+,,300,4/4,Default Arrangement
20397915,Turn Your Eyes Upon Jesus,False,,,,2024-09-15T10:00:00Z,2024-09-15T10:00:00Z,3,2024-09-15T10:00:00Z,2023-06-04T10:00:00Z,2022-07-24T08:45:00Z,530,Frequent recently,365d+,,270,3/4,Default
19530837,What A Friend We Have In Jesus,False,Charles Crozat Converse and Joseph Medlicott Scriven,"Friendship, , Jesus, Prayer",27714,2024-09-08T10:00:00Z,2024-09-08T10:00:00Z,3,2024-09-08T10:00:00Z,2023-02-26T10:00:00Z,2022-04-24T08:45:00Z,537,Frequent recently,365d+,133,285,4/4,Janice Gaines
13269838,Change My Heart Oh God,False,Eddie Espinosa,"Character, Commitment, Petition",1565,2024-08-11T10:00:00Z,2024-08-11T10:00:00Z,3,2024-08-11T10:00:00Z,2024-01-21T10:00:00Z,2024-01-14T10:00:00Z,565,Frequent recently,365d+,,240,,Default Arrangement
12100454,God's Not Dead,False,"Greg Leavers, Peter Horrobin, and Phil Burt","Life, Service",4945462,2024-08-04T10:00:00Z,2024-08-04T10:00:00Z,3,2024-08-04T10:00:00Z,2024-03-24T10:00:00Z,2021-02-28T10:00:00Z,572,Frequent recently,365d+,,300,,Default Arrangement
17858410,Just A Closer Walk With Thee,False,Jack Schrader,"Friendship, Petition, Presence, Jesus, Strength",1828321,2024-07-28T10:00:00Z,2024-07-28T10:00:00Z,3,2024-07-28T10:00:00Z,2023-12-31T10:00:00Z,2023-10-27T21:00:00Z,579,Frequent recently,365d+,,240,4/4,Default Arrangement
22018115,I Give You My Heart,False,Reuben Morgan,"give thanks, Heart, Surrender, Heaven, Adoration, Praise, Worship",1866132,2024-07-07T10:00:00Z,2024-07-07T10:00:00Z,3,2024-07-07T10:00:00Z,2023-12-31T10:00:00Z,2022-03-06T08:45:00Z,600,Frequent recently,365d+,,240,,Default Arrangement
