song_id,song_title,plan_sort_date,plan_dates,plan_id,plan_title,service_type_id,service_type_name,key_name,item_length,item_id
11631157,(Offering) - Holy Spirit,2016-02-21T10:00:00Z,"February 21, 2016",24572567,God's Will: The Love and The Blessing,565427,Standard Service,B,360,339905009
11630563,Blessed Be Your Name,2016-02-21T10:00:00Z,"February 21, 2016",24572567,God's Will: The Love and The Blessing,565427,Standard Service,C,300,339901195
11630965,Give Me Faith,2016-02-21T10:00:00Z,"February 21, 2016",24572567,God's Will: The Love and The Blessing,565427,Standard Service,A,300,339904751
11631801,In Your Freedom,2016-02-21T10:00:00Z,"February 21, 2016",24572567,God's Will: The Love and The Blessing,565427,Standard Service,D,300,339943665
11630821,Our God Saves,2016-02-21T10:00:00Z,"February 21, 2016",24572567,God's Will: The Love and The Blessing,565427,Standard Service,D,330,339903529
11689291,All Consuming Fire,2016-02-28T10:00:00Z,"February 28, 2016",24672163,,565427,Standard Service,C,300,342127899
0,Announcements ,2016-02-28T10:00:00Z,"February 28, 2016",24672163,,565427,Standard Service,,180,342127341
11689017,Downpour,2016-02-28T10:00:00Z,"February 28, 2016",24672163,,565427,Standard Service,E,240,342127675
11689159,Found In You,2016-02-28T10:00:00Z,"February 28, 2016",24672163,,565427,Standard Service,C,300,342127333
11689239,How Great Is Our God,2016-02-28T10:00:00Z,"February 28, 2016",24672163,,565427,Standard Service,A,300,342127585
11689197,I Am Free,2016-02-28T10:00:00Z,"February 28, 2016",24672163,,565427,Standard Service,D,240,342127581
0,Introduction to David Giang,2016-02-28T10:00:00Z,"February 28, 2016",24672163,,565427,Standard Service,,300,342127697
0,Message,2016-02-28T10:00:00Z,"February 28, 2016",24672163,,565427,Standard Service,,3000,342127889
11689341,The Heart Of Worship,2016-02-28T10:00:00Z,"February 28, 2016",24672163,,565427,Standard Service,D,300,342127703
0,Welcome/Scripture,2016-02-28T10:00:00Z,"February 28, 2016",24672163,,565427,Standard Service,,300,342127345
0,Announcements ,2016-03-06T10:00:00Z,"March 6, 2016",24897381,"God's Will:  Christ's Value, in my heart, of greater worth than anything! - Mark 14:1-9",565427,Standard Service,,180,343858709
0,Benediction,2016-03-06T10:00:00Z,"March 6, 2016",24897381,"God's Will:  Christ's Value, in my heart, of greater worth than anything! - Mark 14:1-9",565427,Standard Service,,180,343860389
0,Message,2016-03-06T10:00:00Z,"March 6, 2016",24897381,"God's Will:  Christ's Value, in my heart, of greater worth than anything! - Mark 14:1-9",565427,Standard Service,,3000,343860219
11728321,Offering - Mighty To Save,2016-03-06T10:00:00Z,"March 6, 2016",24897381,"God's Will:  Christ's Value, in my heart, of greater worth than anything! - Mark 14:1-9",565427,Standard Service,G,300,343859629
11728197,Only Jesus Can,2016-03-06T10:00:00Z,"March 6, 2016",24897381,"God's Will:  Christ's Value, in my heart, of greater worth than anything! - Mark 14:1-9",565427,Standard Service,D,300,343859047
11728175,Open Up The Heavens,2016-03-06T10:00:00Z,"March 6, 2016",24897381,"God's Will:  Christ's Value, in my heart, of greater worth than anything! - Mark 14:1-9",565427,Standard Service,D,300,343859105
11731861,Our God,2016-03-06T10:00:00Z,"March 6, 2016",24897381,"God's Will:  Christ's Value, in my heart, of greater worth than anything! - Mark 14:1-9",565427,Standard Service,A,300,343860279
11728283,The Old Rugged Cross,2016-03-06T10:00:00Z,"March 6, 2016",24897381,"God's Will:  Christ's Value, in my heart, of greater worth than anything! - Mark 14:1-9",565427,Standard Service,G,240,343859215
0,Welcome/Scripture,2016-03-06T10:00:00Z,"March 6, 2016",24897381,"God's Will:  Christ's Value, in my heart, of greater worth than anything! - Mark 14:1-9",565427,Standard Service,,300,343858895
11793559,Always,2016-03-13T10:00:00Z,"March 13, 2016",25072863,God's Will: Stand together as a strong Army of the Lord - Ephesians 6:10-17,565427,Standard Service,C,300,345694811
11793643,At Your Name,2016-03-13T10:00:00Z,"March 13, 2016",25072863,God's Will: Stand together as a strong Army of the Lord - Ephesians 6:10-17,565427,Standard Service,A,300,346083521
11793757,God Is Able,2016-03-13T10:00:00Z,"March 13, 2016",25072863,God's Will: Stand together as a strong Army of the Lord - Ephesians 6:10-17,565427,Standard Service,A,300,346083161
11793881,Offering - We Believe,2016-03-13T10:00:00Z,"March 13, 2016",25072863,God's Will: Stand together as a strong Army of the Lord - Ephesians 6:10-17,565427,Standard Service,B,300,346083271
11794028,We're United,2016-03-13T10:00:00Z,"March 13, 2016",25072863,God's Will: Stand together as a strong Army of the Lord - Ephesians 6:10-17,565427,Standard Service,C,360,345696483
11842679,Call On The Name,2016-03-20T10:00:00Z,"March 20, 2016",25074549,Making War on the Floor! - Ephesians 6:18,565427,Standard Service,A,300,347923943
11842601,Forever,2016-03-20T10:00:00Z,"March 20, 2016",25074549,Making War on the Floor! - Ephesians 6:18,565427,Standard Service,A-B,300,347923609
11842744,Forever Exalted,2016-03-20T10:00:00Z,"March 20, 2016",25074549,Making War on the Floor! - Ephesians 6:18,565427,Standard Service,C,300,347923727
11842821,Great Is Thy Faithfulness,2016-03-20T10:00:00Z,"March 20, 2016",25074549,Making War on the Floor! - Ephesians 6:18,565427,Standard Service,D,300,347923743
11842513,Offering - Word Of God Speak,2016-03-20T10:00:00Z,"March 20, 2016",25074549,Making War on the Floor! - Ephesians 6:18,565427,Standard Service,C,240,347923781
11876123,Happy Day,2016-03-27T10:00:00Z,"March 27, 2016",25325131,Fight for the Heart of your King - John 20:1-23,565427,Standard Service,C,240,349213599
11689239,How Great Is Our God,2016-03-27T10:00:00Z,"March 27, 2016",25325131,Fight for the Heart of your King - John 20:1-23,565427,Standard Service,G,300,349214723
11728321,Mighty To Save,2016-03-27T10:00:00Z,"March 27, 2016",25325131,Fight for the Heart of your King - John 20:1-23,565427,Standard Service,G,240,349214509
11876331,Offering - Came To My Rescue,2016-03-27T10:00:00Z,"March 27, 2016",25325131,Fight for the Heart of your King - John 20:1-23,565427,Standard Service,C,300,349214675
11731861,Our God,2016-03-27T10:00:00Z,"March 27, 2016",25325131,Fight for the Heart of your King - John 20:1-23,565427,Standard Service,A,300,349214397
11876207,Stronger,2016-03-27T10:00:00Z,"March 27, 2016",25325131,Fight for the Heart of your King - John 20:1-23,565427,Standard Service,C,375,349214213
11793559,Always,2016-04-03T10:00:00Z,"April 3, 2016",25512437,The Shepherd of the Wilderness - Psalm 23:1-3,565427,Standard Service,C,300,351767446
11597717,Here For You,2016-04-03T10:00:00Z,"April 3, 2016",25512437,The Shepherd of the Wilderness - Psalm 23:1-3,565427,Standard Service,C,300,351772193
11929351,Jesus You Are Worthy,2016-04-03T10:00:00Z,"April 3, 2016",25512437,The Shepherd of the Wilderness - Psalm 23:1-3,565427,Standard Service,C,300,351771000
11631157,Offering - Holy Spirit,2016-04-03T10:00:00Z,"April 3, 2016",25512437,The Shepherd of the Wilderness - Psalm 23:1-3,565427,Standard Service,A,300,351767932
11929429,Unchanging,2016-04-03T10:00:00Z,"April 3, 2016",25512437,The Shepherd of the Wilderness - Psalm 23:1-3,565427,Standard Service,G,300,351773679
11630563,Blessed Be Your Name,2016-04-17T10:00:00Z,"April 17, 2016",25756978,The Plan of a Sovereign God! - Genesis 15,565427,Standard Service,C,300,355517818
11630965,Give Me Faith,2016-04-17T10:00:00Z,"April 17, 2016",25756978,The Plan of a Sovereign God! - Genesis 15,565427,Standard Service,A,300,355517838
11842821,Great Is Thy Faithfulness,2016-04-17T10:00:00Z,"April 17, 2016",25756978,The Plan of a Sovereign God! - Genesis 15,565427,Standard Service,D,300,355517844
11876331,Offering - Came To My Rescue,2016-04-17T10:00:00Z,"April 17, 2016",25756978,The Plan of a Sovereign God! - Genesis 15,565427,Standard Service,C,300,355517822
11876207,Stronger,2016-04-17T10:00:00Z,"April 17, 2016",25756978,The Plan of a Sovereign God! - Genesis 15,565427,Standard Service,C,360,355518748
