song_id,title,hidden,author,themes,ccli_number,total_uses_all_time,scheduled_future_count,uses_last_365d,uses_last_90d,first_used_at,last_used_at,days_since_last_use,avg_gap_days_between_uses,all_use_dates,category_full_history
11793643,At Your Name,False,Tim Hughes and Phil Wickham,"Adoration, His Name, Praise, Proclamation",5942543,25,0,0,0,2016-03-13T10:00:00+00:00,2025-02-23T10:00:00+00:00,369,136.2,2016-03-13T10:00:00Z; 2016-05-15T10:00:00Z; 2016-06-26T10:00:00Z; 2016-07-31T10:00:00Z; 2016-09-25T10:00:00Z; 2017-01-08T10:00:00Z; 2017-04-02T10:00:00Z; 2017-08-20T10:00:00Z; 2017-10-01T10:00:00Z; 2018-01-28T10:00:00Z; 2018-06-24T10:00:00Z; 2018-11-22T10:00:00Z; 2019-01-20T10:00:00Z; 2019-03-24T10:00:00Z; 2019-05-26T10:00:00Z; 2019-11-03T10:00:00Z; 2022-03-13T08:45:00Z; 2022-08-14T08:45:00Z; 2022-11-13T08:45:00Z; 2023-03-19T10:00:00Z; 2023-06-04T10:00:00Z; 2023-11-05T10:00:00Z; 2024-03-24T10:00:00Z; 2024-06-23T10:00:00Z; 2025-02-23T10:00:00Z,retire_candidate
27619725,El Shaddai,False,John W. Thompson and Michael Card,"el, God's Attributes, Father, Redemption, Adoration",26856,1,0,0,0,2025-02-23T10:00:00+00:00,2025-02-23T10:00:00+00:00,369,,2025-02-23T10:00:00Z,retire_candidate
27619786,King of kings and Lord of lords,False,,,,1,0,0,0,2025-02-23T10:00:00+00:00,2025-02-23T10:00:00+00:00,369,,2025-02-23T10:00:00Z,retire_candidate
22635834,Praise Adonai,False,Paul Baloche,"love you so much, Adoration, Worship, Praise",2612742,6,0,0,0,2022-07-10T08:45:00+00:00,2025-02-23T10:00:00+00:00,369,191.8,2022-07-10T08:45:00Z; 2023-08-06T10:00:00Z; 2024-01-14T10:00:00Z; 2024-01-21T10:00:00Z; 2024-06-30T10:00:00Z; 2025-02-23T10:00:00Z,retire_candidate
26090961,Same Power,False,Jeremy Camp and Jason Ingram,,7031700,3,0,0,0,2024-04-12T18:30:00+00:00,2025-02-16T10:00:00+00:00,376,154.5,2024-04-12T18:30:00Z; 2024-05-19T10:00:00Z; 2025-02-16T10:00:00Z,retire_candidate
22216735,I Love You Lord,False,Laurie Klein,"Love for God, Offering, Praise, Adoration, Rejoice",25266,2,0,0,0,2024-11-24T18:00:00+00:00,2025-02-09T10:00:00+00:00,383,76.0,2024-11-24T18:00:00Z; 2025-02-09T10:00:00Z,retire_candidate
21724696,The Family Of God,False,Gloria Gaither and William J. Gaither,"Fellowship, Church",17023,5,0,0,0,2022-01-09T08:45:00+00:00,2025-02-09T10:00:00+00:00,383,281.8,2022-01-09T08:45:00Z; 2023-01-15T08:45:00Z; 2023-09-03T10:00:00Z; 2024-05-12T10:00:00Z; 2025-02-09T10:00:00Z,retire_candidate
12097918,They'll Know We Are Christians By Our Love,False,Peter Scholtes | Bridge by John Ermatinger,"Christian Love, One, Unity, Family, Holy Spirit, Love",26997,21,0,0,0,2016-05-01T10:00:00+00:00,2025-02-09T10:00:00+00:00,383,160.2,2016-05-01T10:00:00Z; 2017-02-12T10:00:00Z; 2017-02-19T10:00:00Z; 2017-11-12T10:00:00Z; 2018-02-18T10:00:00Z; 2018-07-22T10:00:00Z; 2019-02-24T10:00:00Z; 2019-10-20T10:00:00Z; 2020-06-07T10:00:00Z; 2020-11-29T10:00:00Z; 2021-02-07T10:00:00Z; 2021-03-14T10:00:00Z; 2022-01-09T08:45:00Z; 2022-07-17T08:45:00Z; 2023-01-15T08:45:00Z; 2023-09-03T10:00:00Z; 2023-10-27T21:00:00Z; 2024-04-14T10:00:00Z; 2024-05-12T10:00:00Z; 2024-08-04T10:00:00Z; 2025-02-09T10:00:00Z,retire_candidate
26090789,Go Make Of All Disciples,False,Leon M. Adkins,"Obedience, Evangelism",6104861,2,0,0,0,2024-04-14T10:00:00+00:00,2025-02-02T10:00:00+00:00,390,294.0,2024-04-14T10:00:00Z; 2025-02-02T10:00:00Z,retire_candidate
25520572,I'll Go Where You Want Me To Go,False,"Carrie E. Rounsefell, Charles E. Prior, and Mary Brown","Stewardship, Obedience, Devotion, Discipleship, Service",47282,3,0,0,0,2024-01-07T10:00:00+00:00,2025-02-02T10:00:00+00:00,390,196.0,2024-01-07T10:00:00Z; 2024-10-27T10:00:00Z; 2025-02-02T10:00:00Z,retire_candidate
