song_id,title,hidden,author,themes,ccli_number,total_uses_all_time,scheduled_future_count,uses_last_365d,uses_last_90d,first_used_at,last_used_at,days_since_last_use,avg_gap_days_between_uses,all_use_dates,category_full_history
11597717,Here For You,False,"Tim Wanstall, Jesse Reeves, Matt Maher, and Matt Redman","Worship, Adoration, Praise, Christian Life",5925649,31,1,4,0,2016-04-03T10:00:00+00:00,2025-08-17T10:00:00+00:00,194,114.0,2016-04-03T10:00:00Z; 2016-05-15T10:00:00Z; 2016-07-24T10:00:00Z; 2016-09-25T10:00:00Z; 2016-10-30T10:00:00Z; 2017-01-01T10:00:00Z; 2017-02-12T10:00:00Z; 2017-04-23T10:00:00Z; 2017-07-02T10:00:00Z; 2017-10-08T10:00:00Z; 2017-10-29T10:00:00Z; 2018-01-07T10:00:00Z; 2018-02-18T10:00:00Z; 2018-09-23T10:00:00Z; 2018-11-25T10:00:00Z; 2019-02-10T10:00:00Z; 2019-06-23T10:00:00Z; 2019-12-01T10:00:00Z; 2022-01-23T08:45:00Z; 2022-07-31T08:45:00Z; 2022-11-06T08:45:00Z; 2023-01-15T08:45:00Z; 2023-02-19T10:00:00Z; 2023-12-31T10:00:00Z; 2024-02-04T10:00:00Z; 2024-04-14T10:00:00Z; 2024-11-03T10:00:00Z; 2025-03-09T10:00:00Z; 2025-07-13T10:00:00Z; 2025-08-05T19:30:00Z; 2025-08-17T10:00:00Z; 2026-03-29T10:00:00Z,review
27262268,King Of Kings,False,"Brooke Ligertwood, Jason Ingram, and Scott Ligertwood",,7127647,5,0,4,0,2024-12-01T10:00:00+00:00,2025-06-01T10:00:00+00:00,271,45.2,2024-12-01T10:00:00Z; 2025-04-13T10:00:00Z; 2025-04-18T18:30:00Z; 2025-04-20T10:00:00Z; 2025-06-01T10:00:00Z,review
24316499,Abba (Arms Of A Father),False,Jonathan David Helser and Ed Cash,,7068789,8,1,3,0,2023-05-28T10:00:00+00:00,2025-08-17T10:00:00+00:00,194,115.9,2023-05-28T10:00:00Z; 2023-10-27T21:00:00Z; 2024-04-07T10:00:00Z; 2024-06-16T10:00:00Z; 2024-11-03T10:00:00Z; 2025-04-27T10:00:00Z; 2025-07-13T10:00:00Z; 2025-08-17T10:00:00Z; 2026-03-15T10:00:00Z,review
13575958,Jailbreak,False,"Benji Cowart, Tyler Miller, and Jacob Sooter",,6561868,15,0,3,0,2017-03-12T15:00:00+00:00,2025-07-06T10:00:00+00:00,236,216.7,2017-03-12T15:00:00Z; 2017-08-20T10:00:00Z; 2018-09-30T10:00:00Z; 2019-01-13T10:00:00Z; 2019-09-01T10:00:00Z; 2020-08-16T10:00:00Z; 2022-07-03T08:45:00Z; 2022-09-11T08:45:00Z; 2023-02-18T15:30:00Z; 2023-03-26T10:00:00Z; 2023-10-27T21:00:00Z; 2024-06-30T10:00:00Z; 2025-03-23T10:00:00Z; 2025-04-20T10:00:00Z; 2025-07-06T10:00:00Z,review
26296812,Promises,False,"Aaron Moses, Carrington Gaines, Dante Bowe, Keila Alvarado, and Lemuel Marin","Blessing, Faithfulness, Goodness, Praise",7149439,5,0,3,0,2024-05-26T10:00:00+00:00,2025-06-22T10:00:00+00:00,250,98.0,2024-05-26T10:00:00Z; 2025-01-05T10:00:00Z; 2025-03-16T10:00:00Z; 2025-05-11T10:00:00Z; 2025-06-22T10:00:00Z,review
25361893,Holy Forever,False,"Brian Johnson, Chris Tomlin, Jason Ingram, Jenn Johnson, and Phil Wickham","Exaltation, Holiness, Lamb Of God, Praise, Singing, Worship",7201044,6,0,2,1,2024-05-26T10:00:00+00:00,2026-02-22T10:00:00+00:00,5,127.4,2024-05-26T10:00:00Z; 2024-08-04T10:00:00Z; 2024-10-20T10:00:00Z; 2024-12-22T10:00:00Z; 2025-10-26T10:00:00Z; 2026-02-22T10:00:00Z,review
29543662,Goodbye Yesterday,False,"Grace Binion, Joshua Holiday, and Mitch Wong",,7231931,2,1,2,2,2026-02-01T10:00:00+00:00,2026-02-15T10:00:00+00:00,12,14.0,2026-02-01T10:00:00Z; 2026-02-15T10:00:00Z; 2026-03-22T10:00:00Z,review
24455843,Your Love Never Fails,False,Anthony Skinner and Chris McClarney,"chrsistmas, Sustainer, Love, ",5337172,5,0,2,1,2023-06-25T10:00:00+00:00,2026-02-15T10:00:00+00:00,12,241.5,2023-06-25T10:00:00Z; 2023-08-13T10:00:00Z; 2024-04-28T10:00:00Z; 2025-08-31T10:00:00Z; 2026-02-15T10:00:00Z,review
22018299,Take My Life And Let It Be (Hendon),False,Frances Ridley Havergal and Henri Abraham Cesar Malan,"Confidence, Life, Surre, Purpose, Humility, Offering, Petition, Christian Life, Dedication, Submission, Salvation, Commitment, Prayer, Sacrifice, Praise, Consecration, Holiness",1390,7,0,2,1,2022-03-20T08:45:00+00:00,2026-02-08T10:00:00+00:00,19,236.8,2022-03-20T08:45:00Z; 2023-03-19T10:00:00Z; 2023-12-31T10:00:00Z; 2024-07-14T10:00:00Z; 2024-12-29T10:00:00Z; 2025-09-28T10:00:00Z; 2026-02-08T10:00:00Z,review
28845666,When You Walk Into The Room,False,Bryan Torwalt and Katie Torwalt,"Change, Jesus, Declaration, Praise",7001307,2,1,2,1,2025-11-02T10:00:00+00:00,2026-02-08T10:00:00+00:00,19,98.0,2025-11-02T10:00:00Z; 2026-02-08T10:00:00Z; 2026-03-15T10:00:00Z,review
