song_id,title,hidden,author,themes,ccli_number,total_uses_all_time,scheduled_future_count,uses_last_365d,uses_last_90d,first_used_at,last_used_at,days_since_last_use,avg_gap_days_between_uses,all_use_dates,category_full_history
24523665,The Lord's Prayer (It's Yours),False,"Bryan Fowler, Jacob Sooter, and Matt Maher","Desire, Invitation, Kingdom Of God, Prayer, Surrender",7200544,13,0,5,1,2023-07-09T10:00:00+00:00,2026-01-18T10:00:00+00:00,40,76.9,2023-07-09T10:00:00Z; 2023-10-27T21:00:00Z; 2023-12-31T10:00:00Z; 2024-02-04T10:00:00Z; 2024-06-30T10:00:00Z; 2024-09-22T10:00:00Z; 2024-10-13T10:00:00Z; 2025-02-09T10:00:00Z; 2025-03-16T10:00:00Z; 2025-05-25T10:00:00Z; 2025-08-03T10:00:00Z; 2025-10-19T10:00:00Z; 2026-01-18T10:00:00Z,active_rotation
26335529,Praise,False,"Brandon Lake, Chandler Moore, Chris Brown, Cody Carnes, Pat Barrett, and Steven Furtick","Faithfulness, Praise, Victory, Warfare",7213077,7,0,5,1,2024-06-02T10:00:00+00:00,2026-01-04T10:00:00+00:00,54,96.7,2024-06-02T10:00:00Z; 2024-06-30T10:00:00Z; 2025-04-13T10:00:00Z; 2025-04-20T10:00:00Z; 2025-05-18T10:00:00Z; 2025-09-13T12:55:00Z; 2026-01-04T10:00:00Z,active_rotation
26771566,The Jesus Way,False,Jonathan Smith and Phil Wickham,"Blessing, Forgiveness, Grace, Hope, Praise, Surrender, Worship",7217888,7,0,4,2,2024-09-01T10:00:00+00:00,2026-02-22T10:00:00+00:00,5,89.8,2024-09-01T10:00:00Z; 2024-09-22T10:00:00Z; 2024-11-03T10:00:00Z; 2025-05-04T10:00:00Z; 2025-06-08T10:00:00Z; 2026-01-18T10:00:00Z; 2026-02-22T10:00:00Z,active_rotation
27459045,See A Victory,False,"Ben Fielding, Chris Brown, Jason Ingram, and Steven Furtick",,7129060,5,0,4,1,2025-01-05T10:00:00+00:00,2026-02-15T10:00:00+00:00,12,101.5,2025-01-05T10:00:00Z; 2025-05-25T10:00:00Z; 2025-08-03T10:00:00Z; 2025-08-17T10:00:00Z; 2026-02-15T10:00:00Z,active_rotation
28278446,Trust In God,False,"Brandon Lake, Chris Brown, Mitch Wong, and Steven Furtick",,7206001,4,1,4,2,2025-06-01T10:00:00+00:00,2026-02-15T10:00:00+00:00,12,86.3,2025-06-01T10:00:00Z; 2025-06-22T10:00:00Z; 2026-01-04T10:00:00Z; 2026-02-15T10:00:00Z; 2026-03-22T10:00:00Z,active_rotation
11689159,Found In You,False,Paul Baloche and Andi Rozier,,7005969,25,0,4,2,2016-02-28T10:00:00+00:00,2026-02-08T10:00:00+00:00,19,151.4,2016-02-28T10:00:00Z; 2016-04-24T10:00:00Z; 2016-06-05T10:00:00Z; 2016-07-31T10:00:00Z; 2016-08-21T10:00:00Z; 2016-10-30T10:00:00Z; 2017-01-15T10:00:00Z; 2017-04-30T10:00:00Z; 2017-09-10T10:00:00Z; 2018-01-14T10:00:00Z; 2018-02-25T10:00:00Z; 2018-05-27T10:00:00Z; 2018-08-26T10:00:00Z; 2018-10-21T10:00:00Z; 2019-02-24T10:00:00Z; 2019-03-10T10:00:00Z; 2019-04-28T10:00:00Z; 2019-12-29T10:00:00Z; 2020-07-26T10:00:00Z; 2020-11-15T10:00:00Z; 2024-06-30T10:00:00Z; 2025-05-11T10:00:00Z; 2025-10-05T10:00:00Z; 2026-01-04T10:00:00Z; 2026-02-08T10:00:00Z,active_rotation
11728175,Open Up The Heavens,False,"Meredith Andrews, Stuart Garrard, James McDonald, and Andi Rozier",,6304702,38,1,4,1,2016-03-06T10:00:00+00:00,2026-01-11T10:00:00+00:00,47,97.2,2016-03-06T10:00:00Z; 2016-05-01T10:00:00Z; 2016-07-03T10:00:00Z; 2016-08-07T10:00:00Z; 2016-10-06T19:00:00Z; 2016-12-18T10:00:00Z; 2017-01-22T10:00:00Z; 2017-06-11T10:00:00Z; 2017-09-24T10:00:00Z; 2018-01-07T10:00:00Z; 2018-05-06T10:00:00Z; 2018-06-09T07:00:00Z; 2018-08-12T10:00:00Z; 2018-09-16T10:00:00Z; 2018-10-14T10:00:00Z; 2018-12-23T10:00:00Z; 2019-03-17T10:00:00Z; 2019-06-09T10:00:00Z; 2019-09-08T10:00:00Z; 2019-11-10T10:00:00Z; 2020-01-05T10:00:00Z; 2020-02-23T10:00:00Z; 2020-05-17T10:00:00Z; 2020-09-27T10:00:00Z; 2021-01-17T10:00:00Z; 2021-06-06T10:00:00Z; 2021-06-24T18:30:00Z; 2021-10-10T08:45:00Z; 2022-01-23T08:45:00Z; 2023-01-22T10:00:00Z; 2023-05-21T10:00:00Z; 2024-03-17T10:00:00Z; 2024-08-18T10:00:00Z; 2024-09-29T10:00:00Z; 2025-06-22T10:00:00Z; 2025-10-12T10:00:00Z; 2025-11-02T10:00:00Z; 2026-01-11T10:00:00Z; 2026-03-15T10:00:00Z,active_rotation
24599087,Jesus Have It All,False,Jeremy Riddle,,7211865,7,0,4,0,2023-07-23T10:00:00+00:00,2025-10-26T10:00:00+00:00,124,137.7,2023-07-23T10:00:00Z; 2024-03-10T10:00:00Z; 2024-11-03T10:00:00Z; 2025-03-16T10:00:00Z; 2025-06-29T10:00:00Z; 2025-07-13T10:00:00Z; 2025-10-26T10:00:00Z,active_rotation
11597717,Here For You,False,"Tim Wanstall, Jesse Reeves, Matt Maher, and Matt Redman","Worship, Adoration, Praise, Christian Life",5925649,31,1,4,0,2016-04-03T10:00:00+00:00,2025-08-17T10:00:00+00:00,194,114.0,2016-04-03T10:00:00Z; 2016-05-15T10:00:00Z; 2016-07-24T10:00:00Z; 2016-09-25T10:00:00Z; 2016-10-30T10:00:00Z; 2017-01-01T10:00:00Z; 2017-02-12T10:00:00Z; 2017-04-23T10:00:00Z; 2017-07-02T10:00:00Z; 2017-10-08T10:00:00Z; 2017-10-29T10:00:00Z; 2018-01-07T10:00:00Z; 2018-02-18T10:00:00Z; 2018-09-23T10:00:00Z; 2018-11-25T10:00:00Z; 2019-02-10T10:00:00Z; 2019-06-23T10:00:00Z; 2019-12-01T10:00:00Z; 2022-01-23T08:45:00Z; 2022-07-31T08:45:00Z; 2022-11-06T08:45:00Z; 2023-01-15T08:45:00Z; 2023-02-19T10:00:00Z; 2023-12-31T10:00:00Z; 2024-02-04T10:00:00Z; 2024-04-14T10:00:00Z; 2024-11-03T10:00:00Z; 2025-03-09T10:00:00Z; 2025-07-13T10:00:00Z; 2025-08-05T19:30:00Z; 2025-08-17T10:00:00Z; 2026-03-29T10:00:00Z,review
27262268,King Of Kings,False,"Brooke Ligertwood, Jason Ingram, and Scott Ligertwood",,7127647,5,0,4,0,2024-12-01T10:00:00+00:00,2025-06-01T10:00:00+00:00,271,45.2,2024-12-01T10:00:00Z; 2025-04-13T10:00:00Z; 2025-04-18T18:30:00Z; 2025-04-20T10:00:00Z; 2025-06-01T10:00:00Z,review
